date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:10:36	72619/72619	---M-Z	200	added ('OK')	text/html	etag:W/%22639eda53-11bab%22	https://themewagon.github.io/star-admin2-free-admin-template/index.html	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/index.html	(from )
03:10:37	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-239b%22	https://themewagon.github.io/robots.txt		(from )
03:10:37	7129/7129	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda53-1bd9%22	https://themewagon.github.io/star-admin2-free-admin-template/vendors/feather/feather.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/vendors/feather/feather.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:37	176523/176523	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda53-2b18b%22	https://themewagon.github.io/star-admin2-free-admin-template/vendors/mdi/css/materialdesignicons.min.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/vendors/mdi/css/materialdesignicons.min.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:38	16403/16403	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda53-4013%22	https://themewagon.github.io/star-admin2-free-admin-template/vendors/ti-icons/css/themify-icons.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/vendors/ti-icons/css/themify-icons.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:38	18026/18026	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda53-466a%22	https://themewagon.github.io/star-admin2-free-admin-template/vendors/typicons/typicons.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/vendors/typicons/typicons.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:38	12958/12958	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda53-329e%22	https://themewagon.github.io/star-admin2-free-admin-template/vendors/simple-line-icons/css/simple-line-icons.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/vendors/simple-line-icons/css/simple-line-icons.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:38	2598/2598	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda53-a26%22	https://themewagon.github.io/star-admin2-free-admin-template/vendors/css/vendor.bundle.base.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/vendors/css/vendor.bundle.base.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:38	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-24a3%22	https://themewagon.github.io/star-admin2-free-admin-template/vendors/datatables.net-bs4/dataTables.bootstrap4.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/vendors/datatables.net-bs4/dataTables.bootstrap4.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:39	3917/3917	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda53-f4d%22	https://themewagon.github.io/star-admin2-free-admin-template/js/select.dataTables.min.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/js/select.dataTables.min.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:39	901576/901576	---M-Z	200	added ('OK')	text/css	etag:W/%22639eda53-dc1c8%22	https://themewagon.github.io/star-admin2-free-admin-template/css/vertical-layout-light/style.css	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/css/vertical-layout-light/style.css	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:39	710/710	---M--	200	added ('OK')	image/png	etag:%22639eda53-2c6%22	https://themewagon.github.io/star-admin2-free-admin-template/images/favicon.png	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/images/favicon.png	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:40	6750/6750	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639eda53-1a5e%22	https://themewagon.github.io/star-admin2-free-admin-template/images/logo.svg	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/images/logo.svg	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:40	318/318	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22639eda53-13e%22	https://themewagon.github.io/star-admin2-free-admin-template/images/logo-mini.svg	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/images/logo-mini.svg	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
03:10:40	22622/22622	---M--	200	added ('OK')	image/jpeg	etag:%22639eda53-585e%22	https://themewagon.github.io/star-admin2-free-admin-template/images/faces/face10.jpg	G:/HTTPTRAIK/Admin-Panel-03/themewagon.github.io/star-admin2-free-admin-template/images/faces/face10.jpg	(from https://themewagon.github.io/star-admin2-free-admin-template/index.html)
